merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js,qt_relations_arq,qt_relations_region_conflict
d77d78a3b2962972106dbc0c286d55c18f24ff8f,6aa19ef24755cbd5250590dcf83880ec20a17b6f,0546e34abfa58c28a46b548097fc8fafb2398ce9,[],[],0,0,0,0,0
7326996bdbccc3ec95c82c4c8bf9b6feec8c7d60,eef1c5136a66b00f3e1620340573821e72dfce2c,4011efdaed49c0a4ac4628b537592eb8a41d0da4,[],"['challenges/basic-javascript.json', 'challenges/bootstrap.json', 'challenges/html5-and-css.json', 'challenges/object-oriented-and-functional-programming.json']",0,50,0,0,0
fd7451e233be8494cade0e069b27ad431b3d00c6,7f5653963b718925763a7cfd92a84479e9790f79,74e4b21ec6386b06c0f716fcbe54fa9de87b8d00,[],"['seed/challenges/basic-javascript.json', 'seed/challenges/bootstrap.json', 'seed/challenges/html5-and-css.json', 'seed/challenges/object-oriented-and-functional-programming.json']",0,50,0,0,0
b3c58910acf2345dec95f37c52997ae3e8d7f03d,c75e93835946623d78f83a1bc709e276a0ff17dc,8fd3f55a7af901b7d56de7bff97f4d92da8ba7a8,[],['seed/challenges/basejumps.json'],0,1,0,0,0
8cb33be491af49a5407397092062ef3829d8cc70,9573c836790c11587814ef12b0d34d4ea66fda7a,df8df1172b39a5812de4feefe3f94d4001e4f459,[],['challenges/basejumps.json'],0,1,0,0,0
565d4d1309711434b25e3e914ca7f167b3481d3b,0e70f98171f32545bafc76afdea4febfcd2251f9,d9d558a8a9c2b03f01882d60cc646c3d1b57e61d,[],['seed/challenges/basic-javascript.json'],0,1,0,0,0
2ca89c19e98dbfb084acba8a9c8cc8461f9f64b1,4cf242d4b1ca47471d3ef7c31964636cbf1e871c,5f4ecc72e4bde98dadc23e8f91e68c9e95e90e31,[],['challenges/basic-javascript.json'],0,1,0,0,0
0e70f98171f32545bafc76afdea4febfcd2251f9,b2a19cfec5f99c8aa8dbcd48b2179d435aa3b76d,be373787831a45bfce00b92ab70e35dc4f5cd676,[],['seed/challenges/bootstrap.json'],0,1,0,0,0
4cf242d4b1ca47471d3ef7c31964636cbf1e871c,c1212e159c66a0e9ff55507b50b12f05ce716a44,723a8ffb76355992918fac018bdda752003a8c13,[],['challenges/bootstrap.json'],0,1,0,0,0
d1cc8350a447e7ac683d95231aa17e5982dd6163,f6fe58e866b10abcdc9ac1968ba9e38d4f527557,f4f72ec0ef7644d46bd1517ed3ec650dbbbe55a2,[],['challenges/basic-bonfires.json'],0,1,0,0,0
